Measurement Time	Port 1 ECT/RT-1 Temperature Temp °C	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
10/12/12 02:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
10/12/12 04:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
10/12/12 06:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
10/12/12 08:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
10/12/12 10:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 12:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 02:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 04:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 06:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 08:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 10:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 12:00 PM	-5.8	-0.229	-0.212	* * * 	-0.207
10/13/12 02:00 PM	15.7	0.035	0.066	* * * 	0.086
10/13/12 04:00 PM	17.5	0.037	0.067	* * * 	0.087
10/13/12 06:00 PM	16.9	0.038	0.068	* * * 	0.088
10/13/12 08:00 PM	11.5	0.037	0.068	* * * 	0.089
10/13/12 10:00 PM	9.9	0.036	0.068	-0.234	0.089
10/14/12 12:00 AM	6.3	0.035	0.067	-0.033	0.089
10/14/12 02:00 AM	1.9	0.035	0.066	0.045	0.088
10/14/12 04:00 AM	0.7	0.033	0.066	0.043	0.087
10/14/12 06:00 AM	-0.1	0.033	0.066	0.043	0.087
10/14/12 08:00 AM	-0.6	0.032	0.065	0.042	0.086
10/14/12 10:00 AM	5.3	0.031	0.065	0.042	0.085
10/14/12 12:00 PM	13.1	0.032	0.066	0.045	0.085
10/14/12 02:00 PM	16.2	0.033	0.066	0.049	0.085
10/14/12 04:00 PM	17.1	0.036	0.066	0.051	0.086
10/14/12 06:00 PM	16.8	0.036	0.067	0.052	0.087
10/14/12 08:00 PM	10.7	0.036	0.067	0.049	0.088
