Measurement Time	Port 1 ECT/RT-1 Temperature Temp °C	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
10/12/12 02:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
10/12/12 04:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
10/12/12 06:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
10/12/12 08:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
10/12/12 10:00 PM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 12:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 02:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 04:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 06:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 08:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 10:00 AM	* * * 	* * * 	* * * 	* * * 	* * * 
10/13/12 12:00 PM	-0.8	-0.204	-0.208	-0.204	-0.157
10/13/12 02:00 PM	15.1	-0.002	-0.014	0.005	0.083
10/13/12 04:00 PM	18.0	-0.003	-0.007	0.003	0.079
10/13/12 06:00 PM	17.1	-0.002	-0.006	0.004	0.080
10/13/12 08:00 PM	11.6	-0.005	-0.006	0.003	0.079
10/13/12 10:00 PM	10.0	-0.007	-0.006	0.001	0.080
10/14/12 12:00 AM	6.4	-0.008	-0.006	0.000	0.079
10/14/12 02:00 AM	1.5	-0.009	-0.007	-0.001	0.078
10/14/12 04:00 AM	-0.3	-0.011	-0.007	-0.002	0.078
10/14/12 06:00 AM	-0.2	-0.012	-0.007	-0.003	0.077
10/14/12 08:00 AM	-0.7	-0.012	-0.008	-0.003	0.077
10/14/12 10:00 AM	5.7	-0.012	-0.008	-0.005	0.077
10/14/12 12:00 PM	12.7	-0.008	-0.007	-0.002	0.078
10/14/12 02:00 PM	16.2	-0.005	-0.007	0.002	0.078
10/14/12 04:00 PM	17.9	-0.004	-0.007	0.004	0.078
10/14/12 06:00 PM	17.3	-0.003	-0.007	0.004	0.079
