"quad","year","species","seedling","x","y"
"Q1",2007,"Comandra umbellata","N",0.764586045050319,0.014069838216671
"Q1",2007,"Comandra umbellata","N",0.973078130584204,0.040528222627914
"Q1",2007,"Phlox longifolia","N",0.32220182245617,0.054286590174494
"Q1",2007,"Comandra umbellata","N",0.030101238801317,0.076511629698498
"Q1",2007,"Phlox longifolia","N",0.182501543510338,0.168586817593944
"Q1",2007,"Crepis acuminata","N",0.668277521166161,0.192928527336936
"Q1",2007,"Phlox longifolia","N",0.275635064290647,0.198220205109037
"Q1",2007,"Comandra umbellata","N",0.030101238801317,0.242670293055572
"Q1",2007,"Comandra umbellata","N",0.386760284156984,0.24478696327456
"Q1",2007,"Comandra umbellata","N",0.491535497815621,0.259603659256738
"Q1",2007,"Phlox longifolia","N",0.216368275912671,0.261720333924989
"Q1",2007,"Crepis acuminata","N",0.757177692609967,0.320987122302966
"Q1",2007,"Crepis acuminata","N",0.773052721477008,0.338978825838257
"Q1",2007,"Crepis acuminata","N",0.601602384797095,0.378137231563428
"Q1",2007,"Comandra umbellata","N",0.83337784718911,0.392953927545606
"Q1",2007,"Crepis acuminata","N",0.039626261460657,0.452220715923582
"Q1",2007,"Comandra umbellata","N",0.659810831391683,0.494554129201866
"Q1",2007,"Comandra umbellata","N",0.304210118920878,0.532654206491437
"Q1",2007,"Comandra umbellata","N",0.642877465190517,0.547470902473616
"Q1",2007,"Phlox longifolia","N",0.098893040940107,0.550645910026729
"Q1",2007,"Comandra umbellata","N",0.379351940615158,0.568637613562021
"Q1",2007,"Comandra umbellata","N",0.703202590902619,0.601446013079491
"Q1",2007,"Comandra umbellata","N",0.690502560690165,0.620496049499645
"Q1",2007,"Phlox longifolia","N",0.896492723204823,0.694018348294892
"Q1",2007,"Comandra umbellata","N",0.653460816285456,0.69669620852805
"Q1",2007,"Comandra umbellata","N",0.525402230217953,0.709396229841977
"Q1",2007,"Crepis acuminata","N",0.573027325717601,0.725271263158281
"Q1",2007,"Comandra umbellata","N",0.491535497815621,0.728446270711395
"Q1",2007,"Comandra umbellata","N",0.106301393380459,0.772896354208666
"Q1",2007,"Crepis acuminata","N",0.151995837905416,0.805310646892169
"Q1",2007,"Comandra umbellata","N",0.60371905056682,0.815229776385476
"Q1",2007,"Comandra umbellata","N",0.425918698780681,0.846979838568821
"Q1",2007,"Comandra umbellata","N",0.523285559998965,0.855446519444772
"Q1",2007,"Comandra umbellata","N",0.279868409177886,0.86391320921925
"Q1",2007,"Crepis acuminata","N",0.083018012073066,0.874496560314189
"Q1",2007,"Comandra umbellata","N",0.274576731405785,0.888254918962242
"Q1",2007,"Comandra umbellata","N",0.496827175587722,0.928471666470801
"Q1",2007,"Comandra umbellata","N",0.569852318164488,0.945405037121231
"Q1",2007,"Comandra umbellata","N",0.425918698780681,0.966571748209636
"Q1",2007,"Linanthus pungens","N",0.28018371120561,0.817451722891563
"Q1",2007,"Linanthus pungens","N",0.498379853933568,0.981983612037428
"Q1",2007,"Purshia tridentata","N",0.50880426851241,0.126176394751266
"Q1",2008,"Comandra umbellata","N",0.958706088179718,0.016137130321544
"Q1",2008,"Astragalus filipes/miser","N",0.309496674255794,0.023408409861844
"Q1",2008,"Comandra umbellata","N",0.973671091451479,0.035591627011086
"Q1",2008,"Comandra umbellata","N",0.465609315133665,0.043074126422335
"Q1",2008,"Comandra umbellata","N",0.245623808416929,0.043822376808386
"Q1",2008,"Comandra umbellata","N",0.020657111309853,0.092280739214931
"Q1",2008,"Comandra umbellata","N",0.262476825374326,0.109901107245211
"Q1",2008,"Comandra umbellata","N",0.752937334348692,0.11490613678767
"Q1",2008,"Comandra umbellata","N",0.461555466870901,0.12794786151383
"Q1",2008,"Comandra umbellata","N",0.838986084251948,0.128374634838066
"Q1",2008,"Phlox longifolia","N",0.195865184440103,0.145584384818717
"Q1",2008,"Comandra umbellata","N",0.437811715852999,0.158008925553585
"Q1",2008,"Comandra umbellata","N",0.164727167349078,0.164239090857529
"Q1",2008,"Crepis acuminata","N",0.656787199784482,0.177010887685078
"Q1",2008,"Comandra umbellata","N",0.115010704590147,0.183493134893017
"Q1",2008,"Comandra umbellata","N",0.031799071846318,0.222331816566065
"Q1",2008,"Comandra umbellata","N",0.391259239822284,0.227912745386768
"Q1",2008,"Comandra umbellata","N",0.476668221274346,0.233256808783552
"Q1",2008,"Phlox longifolia","N",0.319326431399603,0.281765888341087
"Q1",2008,"Crepis acuminata","N",0.754059705478506,0.323667892162901
"Q1",2008,"Comandra umbellata","N",0.166619661442736,0.372574121850419
"Q1",2008,"Crepis acuminata","N",0.608150951386733,0.385024392674257
"Q1",2008,"Comandra umbellata","N",0.830755334454648,0.390262145376616
"Q1",2008,"Crepis acuminata","N",0.019278173418758,0.408968396129369
"Q1",2008,"Comandra umbellata","N",0.635462072680549,0.465087143938367
"Q1",2008,"Comandra umbellata","N",0.40879842659658,0.525098076032479
"Q1",2008,"Comandra umbellata","N",0.647434074408105,0.532429651987395
"Q1",2008,"Phlox longifolia","N",0.107571674480168,0.542905152942849
"Q1",2008,"Tragopogon dubius","N",0.249788403289509,0.554694481272019
"Q1",2008,"Comandra umbellata","N",0.51050431605042,0.688813902585358
"Q1",2008,"Crepis acuminata","N",0.554276950286626,0.694051650838453
"Q1",2008,"Comandra umbellata","N",0.492546315683718,0.715750912033938
"Q1",2008,"Comandra umbellata","N",0.286029307017378,0.725478158154077
"Q1",2008,"Crepis acuminata","N",0.108319924866219,0.72697465892618
"Q1",2008,"Comandra umbellata","N",0.138624056602766,0.768128412361943
"Q1",2008,"Crepis acuminata","N",0.277424432027052,0.768128412361943
"Q1",2008,"Comandra umbellata","N",0.584112926102099,0.787445053081112
"Q1",2008,"Crepis acuminata","N",0.235522432654501,0.804792659032136
"Q1",2008,"Comandra umbellata","N",0.53070707202454,0.811526912506596
"Q1",2008,"Linanthus pungens","N",0.346282950867228,0.814658206048965
"Q1",2008,"Crepis acuminata","N",0.091110174885568,0.854177162265199
"Q1",2008,"Crepis acuminata","N",0.103082176613124,0.860911411290396
"Q1",2008,"Crepis acuminata","N",0.354274027755542,0.865712722419628
"Q1",2008,"Crepis acuminata","N",0.063424923949463,0.880365912429201
"Q1",2008,"Comandra umbellata","N",0.286029307017378,0.900568659504794
"Q1",2008,"Comandra umbellata","N",0.559140573346696,0.902065160276896
"Q1",2008,"Linanthus pungens","N",0.502299589993461,0.963418252652656
"Q1",2009,"Comandra umbellata","N",0.471319798657212,0.054914455150985
"Q1",2009,"Comandra umbellata","N",0.017152481151607,0.102865761728472
"Q1",2009,"Comandra umbellata","N",0.254168908613995,0.103550779186208
"Q1",2009,"Comandra umbellata","N",0.835064669365305,0.146021923855495
"Q1",2009,"Comandra umbellata","N",0.126070434902083,0.15835226034105
"Q1",2009,"Comandra umbellata","N",0.43775388538775,0.17410769301381
"Q1",2009,"Phlox longifolia","N",0.157581291349075,0.180957876489691
"Q1",2009,"Crepis acuminata","N",0.639149356105996,0.187808064414836
"Q1",2009,"Comandra umbellata","N",0.105519880025175,0.200138396451128
"Q1",2009,"Astragalus filipes/miser","N",0.256223965436465,0.225484082430711
"Q1",2009,"Comandra umbellata","N",0.017837503058605,0.235759362093797
"Q1",2009,"Comandra umbellata","N",0.369252032831881,0.241239510654207
"Q1",2009,"Crepis acuminata","N",0.370622067747352,0.279600550577081
"Q1",2009,"Erigeron corymbosus","N",0.354866643973119,0.292615900071109
"Q1",2009,"Crepis acuminata","N",0.7610826593505,0.321386682237896
