year,rep,ch1,ch2,ch3,ch4,sensitiv1,sensitiv2,sensitiv3,sensitiv4,ndviAVHRR,ndviMODIS,shrubCov,grassCov,forbCov,extra
2009,1,144,75,587,143,1,0.96,0.77,0.95,0.516770416,0.307192687,20,5,5,P10 E1
2009,2,174,89,728,173,1,0.96,0.77,0.95,0.526247005,0.315905361,40,5,15,P10 E1
2009,3,202,103,751,180,1,0.96,0.77,0.95,0.48223051,0.26722988,25,5,20,P10 E1
2009,4,172,88,658,160,1,0.96,0.77,0.95,0.493118793,0.285520974,50,5,5,P10 E1
2009,5,187,95,602,146,1,0.96,0.77,0.95,0.425093,0.20661157,20,2,1,P10 E1
2009,6,305,155,1033,258,1,0.96,0.77,0.95,0.445661163,0.244478294,10,10,10,Primitive Area
2009,7,234,123,936,229,1,0.96,0.77,0.95,0.509803922,0.296368024,0,10,20,Primitive Area
2009,8,219,112,1105,266,1,0.96,0.77,0.95,0.590596813,0.403031481,0,45,20,Primitive Area
2009,9,270,143,720,176,1,0.96,0.77,0.95,0.344978166,0.098265896,0,1,5,Primitive Area
2009,10,268,139,982,242,1,0.96,0.77,0.95,0.476634054,0.265481367,15,5,15,Primitive Area
2009,11,249,126,850,210,1,0.96,0.77,0.95,0.448810183,0.24508519,30,5,5,Primitive Area
2009,12,202,96,1262,324,1,0.96,0.77,0.95,0.655801114,0.539153915,0,50,5,Primitive Area
2009,13,220,110,1104,274,1,0.96,0.77,0.95,0.588815789,0.422793113,40,30,2,Primitive Area
2009,14,260,134,884,217,1,0.96,0.77,0.95,0.447208402,0.231518265,5,2,20,Primitive Area
2009,15,283,151,890,218,1,0.96,0.77,0.95,0.415470412,0.176504005,2,10,5,Primitive Area
